6626,Dr.,,https://myanimelist.net/images/anime/8/19471.jpg,Music,1,FALSE,"Mar 14, 2009",5 min.,G - All Ages,6.23,963,6641,7007,,Sunrise,"Action, Adventure, Magic, Super Power, Music, Sci-Fi"
6627,Earthian,Earthian,https://myanimelist.net/images/anime/3/62449.jpg,OVA,4,FALSE,"Jul 26, 1989 to Dec 21, 1996",45 min. per ep.,PG-13 - Teens 13 or older,6.23,2774,6642,4342,,"J.C.Staff, Production Reed","Drama, Shoujo, Shounen Ai"
6628,Fantasista Doll,Fantasista Doll,https://myanimelist.net/images/anime/7/52529.jpg,TV,12,FALSE,"Jul 7, 2013 to Sep 29, 2013",23 min. per ep.,PG-13 - Teens 13 or older,6.23,7624,6643,2591,,"Hoods Entertainment, Production IMS","Sci-Fi, Magic, Fantasy"
6629,Attack No.1: Namida no Fushichou,,https://myanimelist.net/images/anime/3/25377.jpg,Movie,1,FALSE,"Mar 17, 1971",1 hr.,PG-13 - Teens 13 or older,6.23,67,6643,10119,,,"Sports, Drama, Shoujo"
6630,Fujoshi no Hinkaku,,https://myanimelist.net/images/anime/13/20821.jpg,OVA,1,FALSE,"Feb 26, 2010",30 min.,PG-13 - Teens 13 or older,6.23,234,6644,8851,,,Slice of Life
6631,Guomin Laogong Dai Huijia,,https://myanimelist.net/images/anime/3/84981.jpg,ONA,12,FALSE,"Oct 3, 2016 to Dec 12, 2016",11 min. per ep.,PG-13 - Teens 13 or older,6.23,1790,6645,3915,,G.CMay Animation &amp; Film,"Drama, Romance, School"
6632,Hakujaden,The Great White Snake,https://myanimelist.net/images/anime/9/13139.jpg,Movie,1,FALSE,"Oct 22, 1958",1 hr. 18 min.,G - All Ages,6.23,1011,6646,6348,"Based on the Chinese folktale ""Legend of the White Snake"". It's the first animated feature film in color. Only two voice actors were used, providing the voices for all the different parts. It is also one of the first three anime films to be released in America and the first anime in any shape or form to be released there.",Toei Animation,"Adventure, Fantasy, Historical, Romance"
6633,Ikemen Sengoku: Toki wo Kakeru ga Koi wa Hajimaranai,Ikemen Sengoku: Bromances Across Time,https://myanimelist.net/images/anime/7/86054.jpg,TV,12,FALSE,"Jul 12, 2017 to Sep 27, 2017",3 min. per ep.,PG-13 - Teens 13 or older,6.23,1600,6647,4903,,"TMS Entertainment, Jinnis Animation Studios","Historical, Romance"
6634,Haja Taisei Dangaiou,Great Planet Evil-Destroyer Dangaio,https://myanimelist.net/images/anime/11/61227.jpg,OVA,3,FALSE,"Sep 28, 1987 to Jul 25, 1989",45 min. per ep.,PG-13 - Teens 13 or older,6.23,1180,6648,5869,,AIC,"Action, Sci-Fi, Adventure, Mecha"
6635,Kenritsu Chikyuu Boueigun,Prefectural Earth Defense Force,https://myanimelist.net/images/anime/7/75317.jpg,OVA,1,FALSE,"Mar 21, 1986",50 min.,PG-13 - Teens 13 or older,6.23,501,6649,7640,,Studio Gallop,"Action, Sci-Fi, Adventure, Comedy, Shounen"
6636,Madobe Nanami no Windows 7 de PC Jisaku Ouen Commercial!!,,https://myanimelist.net/images/anime/7/24272.jpg,OVA,1,FALSE,"May 9, 2010",1 min.,G - All Ages,6.23,4891,6651,4108,,Rising Force,Comedy
6637,Marine Snow no Densetsu,The Legend of Marine Snow,https://myanimelist.net/images/anime/4/42727.jpg,Special,1,FALSE,"Aug 12, 1980",1 hr. 34 min.,G - All Ages,6.23,51,6652,10736,,,Sci-Fi
6638,Mobile Suit Gundam: More Information on the Universal Century,,https://myanimelist.net/images/anime/8/28180.jpg,Special,10,FALSE,"Oct 25, 1996 to Jul 25, 1999",3 min. per ep.,PG-13 - Teens 13 or older,6.23,455,6652,7066,,Sunrise,"Military, Sci-Fi, Space, Mecha"
6639,Maou Dante,Demon Lord Dante,https://myanimelist.net/images/anime/5/84849.jpg,TV,13,FALSE,"Aug 31, 2002 to Nov 21, 2002",24 min. per ep.,R - 17+ (violence & profanity),6.23,1965,6652,4809,,Magic Bus,"Action, Demons, Horror, Shounen, Supernatural"
6640,Mobile Suit Gundam-san,,https://myanimelist.net/images/anime/13/67549.jpg,TV,13,FALSE,"Jul 6, 2014 to Sep 28, 2014",2 min. per ep.,PG-13 - Teens 13 or older,6.23,2188,6653,5047,,Sunrise,"Comedy, Parody, Mecha"
6641,Plastic Little,,https://myanimelist.net/images/anime/10/2599.jpg,OVA,1,FALSE,"Mar 21, 1994",45 min.,R+ - Mild Nudity,6.23,4318,6655,3855,,Animate Film,"Action, Adventure, Comedy, Ecchi, Mecha, Military, Romance, Sci-Fi"
6642,Luck & Logic,Luck & Logic,https://myanimelist.net/images/anime/5/77134.jpg,TV,12,FALSE,"Jan 9, 2016 to Mar 26, 2016",24 min. per ep.,PG-13 - Teens 13 or older,6.23,27068,6656,1177,,Doga Kobo,"Action, Fantasy"
6643,Queen's Blade: Rebellion Specials,,https://myanimelist.net/images/anime/7/38419.jpg,Special,6,FALSE,"Jun 27, 2012 to Nov 28, 2012",4 min. per ep.,R+ - Mild Nudity,6.23,2154,6656,4496,,Arms,Ecchi
6644,Rokudenashi Blues,,https://myanimelist.net/images/anime/13/25146.jpg,Movie,1,FALSE,"Jul 11, 1992",33 min.,R - 17+ (violence & profanity),6.23,149,6659,8614,,Toei Animation,"Sports, Comedy, School, Drama, Shounen"
6645,Scan2Go,Scan2Go,https://myanimelist.net/images/anime/3/30012.jpg,TV,52,FALSE,"Aug 9, 2010 to Mar 29, 2011",25 min. per ep.,G - All Ages,6.23,392,6660,8158,,SynergySP,"Cars, Kids, Shounen, Space, Sports"
6646,Teekyuu 6 Specials,,https://myanimelist.net/images/anime/4/78679.jpg,Special,2,FALSE,"Feb 26, 2016",2 min. per ep.,PG-13 - Teens 13 or older,6.23,392,6662,7433,,Millepensee,"Comedy, Sports, Shounen"
6647,RG Veda,RG Veda,https://myanimelist.net/images/anime/5/7263.jpg,OVA,2,FALSE,"Jun 1, 1991 to Jun 21, 1992",45 min. per ep.,PG-13 - Teens 13 or older,6.23,2602,6664,4578,,Animate Film,"Adventure, Drama, Fantasy"
6648,Tokimeki Memorial 4 OVA,,https://myanimelist.net/images/anime/12/21756.jpg,OVA,1,FALSE,"Dec 3, 2009",35 min.,PG-13 - Teens 13 or older,6.23,497,6664,7511,,Asahi Production,Harem
6649,Tokyo Disney Resort: Yume ga Kanau Basho,Where Dreams Come True,https://myanimelist.net/images/anime/12/47557.jpg,Special,1,FALSE,"Mar 23, 2012",30 sec.,G - All Ages,6.23,577,6665,8287,,Production I.G,Slice of Life
6650,Valkyrie Drive: Mermaid Specials,,https://myanimelist.net/images/anime/8/76450.jpg,Special,6,FALSE,"Dec 18, 2015 to May 25, 2016",2 min. per ep.,R+ - Mild Nudity,6.23,3704,6665,3770,,,"Action, Ecchi, Fantasy, Shoujo Ai"
6651,Tongari Boushi no Memole: Marielle no Housekibako,,https://myanimelist.net/images/anime/3/35543.jpg,OVA,1,FALSE,"Mar 16, 1985",1 hr. 15 min.,G - All Ages,6.23,64,6666,10571,,Toei Animation,"Fantasy, Magic, Shoujo"
6652,Soreyuke! Uchuu Senkan Yamamoto Yohko,Starship Girl Yamamoto Yohko,https://myanimelist.net/images/anime/1702/90153.jpg,OVA,3,FALSE,"Mar 6, 1996 to Jun 5, 1996",30 min. per ep.,PG-13 - Teens 13 or older,6.23,658,6666,6479,,J.C.Staff,"Sci-Fi, Adventure, Comedy"
6653,Umi ni Ochita Tsuki no Hanashi,The Moon That Fell into the Sea,https://myanimelist.net/images/anime/12/74256.jpg,Movie,1,FALSE,2013,18 min.,G - All Ages,6.23,227,6667,9802,Winner of the 2013 Oofuji Noburou Award at the Mainichi Film Awards.,,Kids
6654,To Heart: Remember My Memories Specials,,https://myanimelist.net/images/anime/1/686.jpg,Special,7,FALSE,"Jan 26, 2006 to Aug 24, 2006",3 min. per ep.,R+ - Mild Nudity,6.23,777,6668,6440,,AIC A.S.T.A.,"Parody, Martial Arts, Comedy, Super Power, Samurai, Sci-Fi"
